Neighborhood,Latitude,Longitude
"Sandringham, New Zealand",-36.892969999999934,174.73648000000003
"Sandspit, New Zealand",-36.909658358019136,174.9462776882347
"Schnapper Rock, New Zealand",-36.756173642999954,174.68691521800008
Shelly Park,-36.90831999999995,174.94513000000006
"Southdown, New Zealand",-36.918199999999956,174.81019000000003
"St Johns, New Zealand",-36.89756999999997,174.8591
"Stanley Bay, New Zealand",-36.97382997114855,174.61526008537749
Stanmore Bay,-36.60818999999998,174.7301900000001
"Stillwater, Auckland",-36.6698559249969,174.6808951118284
Stonefields,-36.887335425999936,174.83999335600004
Sunnyhills,-36.901522357999966,174.88590635600008
"Sunnynook, New Zealand",-36.75359590599993,174.7388119530001
"Sunnyvale, Auckland",-36.898464967999985,174.63652740600003
"Swanson, New Zealand",-36.86391999999995,174.60185
Takanini,-37.04819999999995,174.90019000000007
Takapuna,-36.78793177299997,174.76554919800003
Tamaki City,-36.88819999999998,174.8601900000001
"Tamaki, New Zealand",-36.847789999999975,174.82929000000001
Te Atatū,-36.83332999999993,174.6500000000001
Te Atatū Peninsula,-36.840713998999945,174.6499846360001
Te Atatū South,-36.86955831299997,174.64733098800002
Te Papapa,-36.918199999999956,174.80019000000004
"Three Kings, New Zealand",-36.90928999999994,174.75483000000008
Titirangi,-36.94049500899996,174.64725141700012
Torbay Heights,-36.69899995983532,174.7363300969528
"Torbay, New Zealand",-36.69486999999998,174.75065000000006
Totara Heights,-37.00195255199998,174.90053395300004
Totara Vale,-36.762727180999946,174.72808369200004
Unsworth Heights,-36.75741224999996,174.71652638000012
"Vauxhall, Auckland",-36.81819999999993,174.80019000000004
Viaduct Harbour,-36.84527993448241,174.75845019525343
